ID,TEXT,LABEL
91,"During this time the convicts had not shown themselves, neither was there any news of Ayrton. The engineer and Herbert still hoped to get him back, but the others thought that the unhappy man had succumbed. In a month’s time, when the lad should have regained his strength, the important search would be undertaken, and all these questions set at rest.  During January the work on the plateau consisted simply in collecting the grain and vegetables undestroyed in the work of devastation, and planting some for a late crop during the next season. [SNIPPET] What an indescribable spectacle, and what variety of sites and landscapes along these sandbanks and volcanic islands which bound the Libyan coast! But where these shrubs appeared in all their beauty was on the eastern coast, which the Nautilus soon gained. It was on the coast of Tehama, for there not only did this display of zoophytes flourish beneath the level of the sea, but they also formed picturesque interlacings which unfolded themselves about sixty feet above the surface, more capricious but less highly coloured than those whose freshness was kept up by the vital power of the waters.  What charming hours I passed thus at the window of the saloon!",1
0,"as to let me have those stimulating people about now. I wish I could get well faster. But I must not think about that. This paper looks to me as if it knew what a vicious influence it had! There is a recurrent spot where the pattern lolls like a broken neck and two bulbous eyes stare at you upside-down. I get positively angry with the impertinence of it and the everlastingnef in spots, and it sticketh closer than a brother—they must have had perseverance as well as hatred. Then the floor is scratched and gouged and splintered, the plaster itself is dug out here and there, and this great heavy bed, which is all we found in the room, looks as if it had been through the wars. But I don’t mind it a bit—only the paper. There comes John’s sister. Such a dear girl as she is, and so careful of me! I must not let her find me writing. She is a perfect, and enthusiastic housekeeper, and hopes for no better profession. I verily believe she thinks it is the writing which made me sick! But I can write when she is out, and see her a long way off from these windows. There is one that commands the road, a lovely, shaded, winding road, and one that just looks off over the country. A lovely country, too, full of great elms and velvet mn up here a good deal. I’m getting really fond of the room in spite of the wallpaper. Perhaps because of the wallpaper. It dwells in my mind so! I lie here on this great immovable bed—it is nailed down, I believe—and follow that pattern about by the hour. It is as good as gymnastics, I assure you. I start, we’ll say, at the bottom, down in the corner over there where it has not been touched, and I determine for the thousandth time that I will follow that pointless pattern to some sort of a conclusion. I know a little of the principle of design, and I know this thing was not arranged on any laws of radietite is better. I feel really much easier about you.” “I don’t weigh a bit more,” said I, “nor as much; and my appetite may be better in the evening, when you are here, but it is worse in the morning when you are away.” “Bless her little heart!” said he with a big hug; “she shall be as sick as she pleases! But now let’s improve the shining hours by going to sleep, and talk about it in the morning!” “And you won’t [SNIPPET] I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes. He told me that there was another river--“over there, short river, s a great to-do all over the country about Ellador’s leaving them. She had interviews with some of the leading ethicists--wise women with still eyes, and with the best of the teachers. There was a stir, a thrill, a deep excitement everywhere. Our teaching about the rest of the world has given them all a sense of isolation, of remoteness, of being a little outlying sample of a country, overlooked and forgotten among the family of nations. We had called it “the family of nations,” and they liked the phrase immensely. They were deeply aroused on the subject of evolution; indeed, the whole field of natural science drew them irresistibly. Any number of them would have risked everything to go to the strange unknown lands and study; but we could take only one, and it had to be Ellador, naturally. We planned greatly about coming back, about establishing a connecting route by water; about penetrating those vast forests and civilizing--or exterminating--the dangerous savages. That is, we men talked of that last--not with the women. They had a definite aversion to killing things. But meanwhile there was high council being held among the wisest of them all. The students and thinkers who had been gathering facts from us all this time, collating and relating them, and making inferences, laid the result of their labors before the council. Little had we thought that our careful efforts at concealment had been so easily seen through, with never a word to show us that they saw. They had followed up words of ours on the science of optics,ith prejudice and unbridled emotion.” This too was admitted. “We find also that in spite of the advance of democracy and the increase of wealth, that there is still unrest and sometimes combat.” Yes, yes, we admitted it all. We were used to these things and saw no reason for so much seriousness. “All things considered,” they said, and they did not say a huave investigator had seen it--a Big Country, Big Houses, Plenty People--All Women. Had no one else gone? Yes--a good many--but they never came back. It was no place for men--of that they seemed sure. I",1
267,"He caught his foot in the scraper, and tore the bottom of his trousers. Most annoying, as Carrie could not well offer to repair them on a Sunday. After dinner, went to sleep. Took a walk round the garden, and discovered a beautiful spot for sowing mustard-and-cress and radishes. [SNIPPET] Gilt-edged! A billion, I tell you! Here I have them—look! Gilt-edged, every one!"" and he snatched a thick bundle of papers from his pocket and waved them wildly until they melted into a pulpy mass with the downpour. The others now shrank away from him in fear. Fear? Yes, for still they loved their lives, and the staggering support beneath their feet had become as precious to them as the solid earth. They would have fought with the fury of madmen to retain their places in that half-swamped shell.",0
499,"Forget the past! Whatever it was we will together try to wipe it out. Much may be done in restoring where there has been any wrong-doing. Take my name as your own. It will protect you from the result of what ever has been, and give you an opportunity to find your place again. You are not bad in heart I know. Whatever you have done has not been from base motives. Few of us are spotless as to facts. [SNIPPET] Your meeting is cold and indifferent. It is long before the fire is fairly kindled between you, and then it is already time for parting. Now, indeed, the fire burns well, but henceforth it must consume your heart. Not till they are dead or gone do you fully realize how dear your friends were and how sweet was their companionship. But we—we see our friends afar off coming to meet us, smiling already in our eyes, years before our ways meet. We greet them at first meeting, not coldly, not uncertainly, but with exultant kisses, in an ecstasy of joy. They enter at once into the full possession of hearts long warmed and lighted for them.",0
169,"A culture of twenty worlds was the same as already destroyed, and he was held in a maddening quagmire of helplessness by a crafty alcoholic and a dog with the mind of a small child. ""Ah ... my boy!"" Rockford came out of the cabin, beaming as though nothing had ever happened. "" Look to your left, among those ghost trees—Narf is demonstrating his quick-draw skill to Sonig. Narf is supposed to be a very dangerous man, you know."" Hunter looked, and saw Narf whipping up the blunt, ugly spread-beam blaster—known to soldiers as the Coward's Special, because at short range it could not miss and would always cripple and blind a man for life even though it would not always kill him. [SNIPPET] Melinda shook her blonde head helplessly. "" What are your economic circumstances?"" Melinda took a deep rasping breath, said, ""Listen, mister, is this a demonstration or a quiz program?"" ""Oh, my excuse. Demonstration, certainly. You will not mind the questions?"" ""Questions?"" There was an ominous glint in Melinda's blue eyes.",0
2,"He took a step to a little mound of good grass as if he were climbing to a rostrum. ""Wise one! Neither the holy one nor our own Grandmaster—both devoted patriots with their minds on the welfare of the City—thought to bring one very important fact to your attention. My apprentice's demonstration is not an original experiment; it is a reconstructed experiment. By Acknowledged Custom, reconstructed experiments are permitted regardless of mysteries and ideas so long as the experimenter does not comprehend any impious theory but merely follows the practical directions of old texts. ""I declare that my apprentice is ignorant of the theory of his demonstration—and who is in a better position to know than his master?"" Snubnose rejoiced. He was ready to forgive even the bread and water. [SNIPPET] Do you mind if I stroke one of your paws—hands—Professor?"" ("" So cuddly-looking!"") He said yes, as a matter of fact, he was hot, and no, he didn't mind being touched in a spirit of scientific investigation. He had a moment of uplift at the teachers' cafeteria when he discovered lunch to be virtually inedible.",0
0,"and suffered together. The legendary hosts of Goths and Huns, the hugest armies Asia has ever seen, would have been but a drop in that current. And this was no disciplined march; it was a stampede—a stampede gigantic and terrible—without order and without a goal, six million people unarmed and unprovisioned, driving headlong. It was the beginning of the rout of civilisation, of the massacre of mankind.  Directly below him the balloonist would have seen the network of streets far and wide, houses, churches, squares, crescents, gardens—already derelict—spread out like a huge map, and in the southward _blotted_. Over Ealing, Richmond, Wimbledon, it would have seemed as if some monstrous pen had flung ink upon the chart. Steadily, incessantly, each black splash grew and spread, shooting out ramifications this way and that, now banking itself against rising ground, now pouring swiftly over a crest into a new-found valley, exactly as a gout of ink would spread itself upon blotting paper.  And beyond, over the blue hills that rise southward of the river, the glittering Martians went to and fro, calmly and methodically spreading their poison cloud over this patch of country and then over that, laying it again with their steam jets when it had served its purpose, and taking possession of the conquered country. They do not seem to have aimed at extermination so much as at complete demoralisation and the destruction of any opposition. They exploded any stores of powder they came upon, cut every telegraph, and wrecked the railways here and there. They were hamstringing mankind. They seemed in no hurry to extend the field of their operations, and did not come beyond the central part of London all that day. It is possible that a very considerable number of people in London stuck to their houses through Monday morning. Certain it is that many died at home suffocated by the Black Smoke.  Until about midday the Pool of London was an astonishing scene. Steamboats and shipping of all sorts lay there, tempted by the enormous sums of money offered by fugitives, and it is said that many who swam out to these vessels were thrust off with boathooks and drowned. About one o’clock in the afternoon the thinning remnant of a cloud of the black vapour appeared between the arches of Blackfriars Bridge. At that the Pool became a scene of mad confusion, fighting, and collision, and for some time a multitude of boats and barges jammed in the northern arch of the Tower Bridge, and the sailors and lightermen had to fight savagely against the people who swarmed upon them from the riverfront. People were actually clambering down the piers of the bridge from above.  When, an hour later, a Martian appeared beyond the Clock Tower and waded down the river, nothing but wreckage floated above Limehouse.  [SNIPPET] a moaning noise when he saw he had attracted my attention, went a little way towards the bushes and looked back at me.  At first I did not understand, but presently it occurred to me that he wished me to follow him; and this I did at last,—slowly, for the day was hot. When we reached the trees he clambered into them, for he could travel better among their swinging creepers than on the ground. And suddenly in a trampled space I came upon a ghastly group. My Saint-Bernard-creature lay on the ground, dead; and near his body crouched the Hyena-swine, gripping the quivering flesh with its misshapen claws, gnawing at it, and snarling with delight. As I approached, the monster lifted its glaring eyes to mine, its lips went trembling back from its red-stained teeth, and it growled menacingly. It was not afraid and not ashamed; the last vestige of the human taint had vanished. I advanced a step farther, stopped, and pulled out my revolver. At last I had him face to face.  The brute made no sign of retreat; but its ears went back, its hair bristled, and its body crouched together. I aimed between the eyes and fired. As I did so, the Thing rose straight at me in a leap, and I was knocked over like a ninepin. It clutched at me with its crippled hand, and struck me in the face. Its spring carried it over me. I fell under the hind part of its body; but luckily I had hit as I meant, and it had died even as it leapt. I crawled out from under its unclean weight and stood up trembling, staring at its quivering body. That danger at least was over; but this, I knew was only the first of the series of relapses that must come.  I burnt both of the bodies on a pyre of brushwood; but after that I saw that unless I left the island my death was only a question of time. The Beast People by that time had, with one or two exceptions, left the ravine and made themselves lairs according to their taste among the thickets of the island. Few prowled by day, most of them slept, and the island might have seemed deserted to a new-comer; but at night the air was hideous with their calls and howling. I had half a mind to make a massacre of them; to build traps, or fight them with my knife. Had I possessed sufficient cartridges, I should not have hesitated to begin the killing. There could now be scarcely a score left of the dangerous carnivores; the braver of these were already dead. After the death of this poor dog of mine, my last friend, I too adopted to some extent the practice of slumbering in the daytime in order to be on my guard at night. I rebuilt my den in the walls of the enclosure, with such a narrow opening that anything attempting to enter must necessarily make a considerable noise. The creatures had lost the art of fire too, and recovered their fear of it. I turned once more, almost",1
1390,"“Interesting?” I almost came flying out of my chair. My mind was beginning to spin like crazy. “ If[Pg 40] you’re not pulling my leg with this thing, Farnsworth, you’ve got something by the tail there that’s just a little bit bigger than the discovery of fire.” He blushed modestly. “ I’d rather thought that myself,” he admitted. “Good Lord, look at the heat that’s available!” I said, getting really excited now. FARNSWORTH was still smiling, very pleased with himself. “ [SNIPPET] How about a drink? Whisky, vodka, rum—there's ice."" Vovo slumped into one of the heavy chairs that were arranged around the table. He grimaced, ""No vodka, I don't feel patriotic today. How about one of those long cold drinks, with the cola stuff?"" ""Cuba libra,"" Jim said. "" Coming up. Look, would you rather speak Russian?"" ""No,"" Vovo said, ""my English is getting rusty.",0
677,"This is my turn."" The woman watched him for a long time, then she sat down on a chair beside the table. The quick, nervous movement was gone out of her, and she sat like a frozen sparrow. The farmer looked up and grinned. "" Feels good. Just to sit here. Does well for the back and the arms. [SNIPPET] It was a universal serum; it would protect her from all disease for the rest of her life. They would be coming for him soon, but he knew it would take them a while to get here, perhaps even a full day. He did not bother to run. He was much to old to run and hide. He sat for a while thinking of how to get the serum to her, but that was no problem. Her parents would give her anything she asked now, and he made up some candy, injecting the serum microscopically into the chunks of chocolate, and then suddenly had a wondrous idea. He put the chunks into the Box and went on duplicating candy until he had several boxes. When he was finished with that, he went visiting all the houses of all the good people he knew, leaving candy for them and their children. He knew he should not do that, but, he thought, it couldn't really do much harm, could it?",0
848,"From the great height and extent of the piles of debris, and from the occasional sight of the splintered cornice of a roof or of some battered window-frame or door, I knew that this had once been a city, one of the world's greatest; but no other recognizable feature remained amid the gray masses of ruins, and the very streets and avenues had been erased. But here and there a tremendous crater, three hundred feet across and a hundred to a hundred and fifty feet deep, indicated the source of the destruction. As if to reinforce the dread idea that had taken possession of my brain, one of the comet-like red prodigies went streaking across the sky even as I gazed down at the dead city; and I knew—as clearly as if I had seen the whole spectacle with my own eyes—that the missile had sprung from a source hundreds or thousands of miles away, possibly across the ocean; and that, laden with scores of tons of explosives, it had been hurled with unerring mechanical accuracy upon its mission of annihilation. Then I seemed to float over vast distances of that sunset-tinted land, and saw great craters in the fields, and villages shot to ribbons, and farms abandoned; and the wild dogs fought for the wild cattle; and thistles grew deep on acres where wheat had been planted, and weeds sprouted thickly in the orchards, and blight and mildew competed for the crops. But though here and there I could see a dugout, with traces of fire and abandoned tools flung about at random, nowhere in all that dismal world did I observe a living man. After a time I returned to a place near the ruined city by the two rivers; and in the rocky palisades above one of the streams, I made out some small circular holes barely large enough to admit a man. [SNIPPET] But in theory the field should modify the effect of inertia as the fourth power of its strength. Sixty to the fourth is—."" ""How far,"" demanded Cochrane, ""is Proxima Centaurus? That's the nearest star to Earth. How near did we come to reaching it?"" The pilot on the other side of the control-room said with a trace less than his former zest: ""That looks like Sirius, over there ..."" ""We didn't head for Proxima Centaurus,"" said Jones mildly. """,0
